SERVICE A DATE,SERVICE A,SERVICE B
1/1/2015,45760,37160
2/1/2015,35780,41480
3/1/2015,38300,44520
4/1/2015,40000,43040
5/1/2015,32500,37960
6/1/2015,34700,40880
7/1/2015,36100,34980
8/1/2015,36640,32560
9/1/2015,35060,34060
10/1/2015,40600,40240
11/1/2015,38100,44340
12/1/2015,34620,39500
1/1/2016,39660,31980
2/1/2016,40780,44860
3/1/2016,44160,48580
4/1/2016,39380,44720
5/1/2016,35340,42500
6/1/2016,34100,39720
7/1/2016,30860,27760
8/1/2016,35180,34300
9/1/2016,34460,33620
10/1/2016,36580,38220
11/1/2016,34000,38680
12/1/2016,29640,37400
1/1/2017,42100,37720
2/1/2017,38540,40600
3/1/2017,36120,46540
4/1/2017,37900,38340
5/1/2017,33180,45060
6/1/2017,31540,34760
7/1/2017,30380,30200
8/1/2017,29200,28640
9/1/2017,30500,29340
10/1/2017,43160,44500
11/1/2017,25800,34100
12/1/2017,27040,28460
1/1/2018,37180,34040
2/1/2018,44640,43240
3/1/2018,34160,43300
4/1/2018,33280,37860
5/1/2018,32220,34620
6/1/2018,27640,33800
7/1/2018,29880,31740
8/1/2018,26940,27680
9/1/2018,29620,38100
10/1/2018,33860,45820
11/1/2018,29980,37980
12/1/2018,24100,30820
1/1/2019,39380,38900
2/1/2019,39600,40680
3/1/2019,36980,41840
4/1/2019,33860,35080
5/1/2019,29700,35940
6/1/2019,34120,33560
7/1/2019,32280,31440
8/1/2019,32640,33260
9/1/2019,27780,30000
10/1/2019,28940,33120
11/1/2019,36040,34920
12/1/2019,29580,30620
1/1/2020,40300,41680
2/1/2020,36160,36320
3/1/2020,37920,37260
4/1/2020,27060,23180
5/1/2020,30480,30860
6/1/2020,32480,35500
7/1/2020,34480,35900
8/1/2020,32700,33180
9/1/2020,31600,30260
10/1/2020,33300,32280
11/1/2020,29200,29880
12/1/2020,37980,38240
1/1/2021,45080,43620
2/1/2021,41360,38940
3/1/2021,47620,43880
4/1/2021,57500,48160
5/1/2021,51420,50860
6/1/2021,48260,44880
7/1/2021,48800,46200
8/1/2021,48560,46500
9/1/2021,48620,45380
10/1/2021,41580,41220
11/1/2021,38540,38760
12/1/2021,38240,36280
1/1/2022,42900,36660
2/1/2022,53320,39600
3/1/2022,52540,41560
4/1/2022,59160,41200
5/1/2022,49940,47140
6/1/2022,54560,41440
7/1/2022,56840,40640
8/1/2022,55460,38140
9/1/2022,57320,36620
10/1/2022,57180,35060
11/1/2022,63420,42000
12/1/2022,57140,34660
1/1/2023,73960,40660
2/1/2023,56160,31800
3/1/2023,96300,39680
